#Saved Data from the class confocal_logic on 15.06.2026 at 14h25m59s.
#
#Parameters:
#===========
#
#X image min (m): 9.9999999999999995e-08
#X image max (m): 2.0000000000000001e-04
#X image range (m): 1.9990000000000001e-04
#Y image min: 9.9999999999999995e-08
#Y image max: 2.0000000000000001e-04
#Y image range: 1.9990000000000001e-04
#XY resolution (samples per range): 200
#XY Image at z position (m): 2.1848226020267184e-05
#Clock frequency of scanner (Hz): 500
#Return Slowness (Steps during retrace line): 50
#
#Data:
#=====
#x position (m)	y position (m)	z position (m)	count rate /Dev1/Ctr3 (Hz)	
1.668508e-04	1.000000e-07	2.184823e-05	1.250000e+04
1.678553e-04	1.000000e-07	2.184823e-05	9.500000e+03
1.688598e-04	1.000000e-07	2.184823e-05	1.750000e+04
1.698643e-04	1.000000e-07	2.184823e-05	1.050000e+04
1.708688e-04	1.000000e-07	2.184823e-05	1.100000e+04
1.718734e-04	1.000000e-07	2.184823e-05	1.500000e+04
1.728779e-04	1.000000e-07	2.184823e-05	9.000000e+03
1.738824e-04	1.000000e-07	2.184823e-05	8.500000e+03
1.748869e-04	1.000000e-07	2.184823e-05	1.100000e+04
1.758915e-04	1.000000e-07	2.184823e-05	9.500000e+03
1.768960e-04	1.000000e-07	2.184823e-05	1.100000e+04
1.779005e-04	1.000000e-07	2.184823e-05	1.300000e+04
1.789050e-04	1.000000e-07	2.184823e-05	7.000000e+03
1.799095e-04	1.000000e-07	2.184823e-05	1.150000e+04
1.809141e-04	1.000000e-07	2.184823e-05	1.300000e+04
1.819186e-04	1.000000e-07	2.184823e-05	9.500000e+03
1.829231e-04	1.000000e-07	2.184823e-05	9.500000e+03
1.839276e-04	1.000000e-07	2.184823e-05	1.300000e+04
1.849322e-04	1.000000e-07	2.184823e-05	6.000000e+03
1.859367e-04	1.000000e-07	2.184823e-05	6.500000e+03
1.869412e-04	1.000000e-07	2.184823e-05	8.500000e+03
1.879457e-04	1.000000e-07	2.184823e-05	8.000000e+03
1.889503e-04	1.000000e-07	2.184823e-05	6.500000e+03
1.899548e-04	1.000000e-07	2.184823e-05	9.000000e+03
1.909593e-04	1.000000e-07	2.184823e-05	1.000000e+04
1.919638e-04	1.000000e-07	2.184823e-05	9.000000e+03
1.929683e-04	1.000000e-07	2.184823e-05	9.500000e+03
1.939729e-04	1.000000e-07	2.184823e-05	1.000000e+04
1.949774e-04	1.000000e-07	2.184823e-05	1.000000e+04
1.959819e-04	1.000000e-07	2.184823e-05	9.500000e+03
1.969864e-04	1.000000e-07	2.184823e-05	1.100000e+04
1.979910e-04	1.000000e-07	2.184823e-05	1.100000e+04
1.989955e-04	1.000000e-07	2.184823e-05	7.000000e+03
2.000000e-04	1.000000e-07	2.184823e-05	1.000000e+04
1.000000e-07	1.104523e-06	2.184823e-05	6.700000e+04
1.104523e-06	1.104523e-06	2.184823e-05	1.110000e+05
2.109045e-06	1.104523e-06	2.184823e-05	1.565000e+05
3.113568e-06	1.104523e-06	2.184823e-05	1.705000e+05
4.118090e-06	1.104523e-06	2.184823e-05	1.525000e+05
5.122613e-06	1.104523e-06	2.184823e-05	1.490000e+05
6.127136e-06	1.104523e-06	2.184823e-05	1.495000e+05
7.131658e-06	1.104523e-06	2.184823e-05	1.510000e+05
